og,level,nm,description,COG_categories,OG_ID
COG3670,2,1096,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",Q,COG3670@2
COG3671,2,592,membrane,M,COG3671@2
COG3672,2,1162,Periplasmic Protein,O,COG3672@2
COG3668,2,3926,Plasmid stabilization system,D,COG3668@2
COG3673,2,834,conserved protein,M,COG3673@2
COG3675,2,736,Lipase (class 3),I,COG3675@2
COG3676,2,329,ISXO2-like transposase domain,L,COG3676@2
COG3680,2,128,regulation of methylation-dependent chromatin silencing,O,COG3680@2
COG3679,2,1170,Belongs to the UPF0342 family,S,COG3679@2
COG3678,2,1472,ATP-independent chaperone mediated protein folding,NPTU,COG3678@2
COG3681,2,836,Belongs to the UPF0597 family,O,COG3681@2
COG3677,2,4655,"transposition, DNA-mediated",L,COG3677@2
COG3682,2,3873,"negative regulation of transcription, DNA-templated",K,COG3682@2
COG3683,2,634,Protein of unknown function (DUF1007),S,COG3683@2
COG3684,2,607,tagatose-bisphosphate aldolase activity,G,COG3684@2
COG3685,2,1231,cellular response to DNA damage stimulus,S,COG3685@2
COG3686,2,984,Membrane,S,COG3686@2
COG3687,2,1284,Predicted metal-dependent hydrolase,S,COG3687@2
COG3689,2,1102,,S,COG3689@2
COG3688,2,1287,RNA-binding protein containing a PIN domain,D,COG3688@2
COG3691,2,287,Protein of unknown function (DUF406),S,COG3691@2
COG3692,2,56,DNA binding,S,COG3692@2
COG3693,2,2850,"endo-1,4-beta-xylanase activity",G,COG3693@2
COG3694,2,1218,ABC-2 family transporter protein,S,COG3694@2
COG3697,2,425,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,HI,COG3697@2
COG3695,2,2104,enzyme binding,L,COG3695@2
COG3698,2,441,Phosphodiester glycosidase,S,COG3698@2
COG3700,2,131,acid phosphatase activity,S,COG3700@2
COG3696,2,4092,silver ion transport,P,COG3696@2
COG3702,2,424,pathogenesis,U,COG3702@2
COG3701,2,1205,conjugation,U,COG3701@2
COG3703,2,1595,gamma-glutamylcyclotransferase activity,P,COG3703@2
COG3704,2,691,protein secretion by the type IV secretion system,U,COG3704@2
COG3705,2,2124,histidine biosynthetic process,E,COG3705@2
COG3707,2,3427,response regulator,T,COG3707@2
COG3709,2,1036,"Catalyzes the phosphorylation of ribose 1,5-bisphosphate to 5-phospho-D-ribosyl alpha-1-diphosphate (PRPP)",P,COG3709@2
COG3710,2,2374,Transcriptional regulator,K,COG3710@2
COG3708,2,2955,glyoxalase III activity,K,COG3708@2
COG3713,2,1394,MltA-interacting MipA family protein,M,COG3713@2
COG3714,2,1056,YhhN family,S,COG3714@2
COG3715,2,2180,PTS system,G,COG3715@2
COG3711,2,5458,transcriptional antiterminator,K,COG3711@2
COG3712,2,6390,iron ion homeostasis,PT,COG3712@2
COG3717,2,947,"Catalyzes the isomerization of 5-dehydro-4-deoxy-D- glucuronate to 3-deoxy-D-glycero-2,5-hexodiulosonate",G,COG3717@2
COG3719,2,721,Belongs to the RNase T2 family,J,COG3719@2
COG3716,2,2209,PTS system mannose fructose sorbose family IID component,G,COG3716@2
COG3718,2,1081,enzyme involved in inositol metabolism,G,COG3718@2
COG3721,2,303,Heme iron utilization protein,P,COG3721@2
COG3720,2,584,iron ion transport,P,COG3720@2
COG3722,2,249,fumarate hydratase activity,K,COG3722@2
COG3723,2,518,DNA synthesis involved in double-strand break repair via homologous recombination,L,COG3723@2
COG3724,2,574,N-succinylarginine dihydrolase activity,E,COG3724@2
COG3725,2,407,,V,COG3725@2
COG3726,2,299,membrane protein affecting hemolysin expression,S,COG3726@2
COG3706,2,24419,GGDEF domain,T,COG3706@2
COG3727,2,988,T/G mismatch-specific endonuclease activity,L,COG3727@2
COG3728,2,647,DNA packaging,L,COG3728@2
COG3730,2,357,PTS system glucitol sorbitol-specific,G,COG3730@2
COG3729,2,587,General stress protein,D,COG3729@2
COG3731,2,489,PTS system glucitol sorbitol-specific IIA component,G,COG3731@2
COG3732,2,384,protein-phosphocysteine-sugar phosphotransferase activity,G,COG3732@2
COG3733,2,591,amine oxidase,Q,COG3733@2
COG3734,2,743,2-keto-3-deoxy-galactonokinase,G,COG3734@2
COG3736,2,550,protein secretion by the type IV secretion system,U,COG3736@2
COG3735,2,1347,TraB family,S,COG3735@2
COG3737,2,801,Protein of unknown function (DUF498/DUF598),S,COG3737@2
COG3738,2,313,Domain of unknown function (DUF1287),S,COG3738@2
COG3739,2,528,integral membrane protein,T,COG3739@2
COG3740,2,1284,"Phage prohead protease, HK97 family",OU,COG3740@2
COG3742,2,427,Toxic component of a toxin-antitoxin (TA) module. An RNase,L,COG3742@2
COG3741,2,1467,N-formylglutamate amidohydrolase,E,COG3741@2
COG3743,2,1427,rRNA binding,S,COG3743@2
COG3744,2,1042,ribonuclease activity,S,COG3744@2
COG3745,2,2032,Flp pilus assembly protein CpaB,U,COG3745@2
COG3747,2,638,phage terminase small subunit,L,COG3747@2
COG3746,2,1847,,P,COG3746@2
COG3748,2,821,Urate oxidase N-terminal,S,COG3748@2
COG3750,2,771,Belongs to the UPF0335 family,P,COG3750@2
COG3749,2,942,Protein conserved in bacteria,EH,COG3749@2
COG3753,2,613,Bacterial protein of unknown function (DUF937),S,COG3753@2
COG3752,2,786,Protein of unknown function (DUF1295),M,COG3752@2
COG3751,2,1868,2OG-Fe(II) oxygenase superfamily,O,COG3751@2
COG3754,2,569,Rhamnan synthesis protein F,M,COG3754@2
COG3756,2,319,,S,COG3756@2
COG3755,2,1349,Lysozyme inhibitor LprI,S,COG3755@2
COG3758,2,857,HutD,S,COG3758@2
COG3759,2,1061,Protein of unknown function (DUF1304),S,COG3759@2
COG3760,2,787,aminoacyl-tRNA metabolism involved in translational fidelity,S,COG3760@2
COG3761,2,565,NADH ubiquinone oxidoreductase 17.2 kD subunit,C,COG3761@2
COG3757,2,4186,lysozyme activity,M,COG3757@2
COG3762,2,926,Membrane,S,COG3762@2
COG3763,2,646,UPF0154 protein,S,COG3763@2
COG3765,2,644,lipopolysaccharide biosynthetic process,M,COG3765@2
COG3766,2,1113,membrane,E,COG3766@2
COG3767,2,328,,S,COG3767@2
COG3764,2,4553,Sortase family,M,COG3764@2
COG3768,2,719,Domain of unknown function (DUF697),S,COG3768@2
COG3769,2,352,mannosylglycerate metabolic process,S,COG3769@2
COG3770,2,646,serine-type endopeptidase activity,M,COG3770@2
COG3771,2,285,lipopolysaccharide metabolic process,S,COG3771@2
COG3772,2,1816,cytolysis by virus of host cell,S,COG3772@2
COG3773,2,2429,sporulation resulting in formation of a cellular spore,M,COG3773@2
COG3776,2,287,membrane,S,COG3776@2
COG3774,2,1127,pathogenesis,M,COG3774@2
COG3775,2,858,galactitol transmembrane transporter activity,G,COG3775@2
COG3778,2,340,Uncharacterised protein conserved in bacteria (DUF2313),S,COG3778@2
COG3777,2,598,3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,S,COG3777@2
COG3779,2,367,protein conserved in bacteria,S,COG3779@2
COG3780,2,234,endonuclease activity,L,COG3780@2
COG3782,2,460,Domain of unknown function (DUF1853),S,COG3782@2
COG3781,2,1250,"regulation of photosynthesis, light reaction",S,COG3781@2
COG3783,2,255,electron transfer activity,C,COG3783@2
COG3784,2,533,Protein of unknown function (DUF1318),S,COG3784@2
COG3785,2,650,Hemimethylated DNA-binding protein YccV like,S,COG3785@2
COG3787,2,299,Belongs to the UPF0306 family,S,COG3787@2
COG3789,2,197,Uncharacterized protein conserved in bacteria (DUF2170),S,COG3789@2
COG3786,2,1174,,S,COG3786@2
COG3788,2,657,"relative of glutathione S-transferase, MAPEG superfamily",S,COG3788@2
COG3790,2,261,cyd operon protein YbgE,S,COG3790@2
COG3793,2,1397,PFAM Mo-dependent nitrogenase,P,COG3793@2
COG3799,2,152,methylaspartate ammonia-lyase activity,E,COG3799@2
COG3798,2,310,Protein conserved in bacteria,O,COG3798@2
COG3797,2,1285,Protein of unknown function (DUF1697),S,COG3797@2
COG3794,2,2152,PFAM blue (type 1) copper domain protein,C,COG3794@2
COG3800,2,1434,sequence-specific DNA binding,K,COG3800@2
COG3791,2,4839,Glutathione-dependent formaldehyde-activating,S,COG3791@2
COG3802,2,340,,S,COG3802@2
COG3801,2,942,YjbR,S,COG3801@2
COG3795,2,3906,YCII-related domain,F,COG3795@2
COG3803,2,1140,Protein conserved in bacteria,E,COG3803@2
COG3804,2,1180,,S,COG3804@2
COG3805,2,288,"Dopa 4,5-dioxygenase family",Q,COG3805@2
COG3807,2,1087,protein conserved in bacteria,S,COG3807@2
COG3806,2,1039,Anti-sigma factor,T,COG3806@2
COG3811,2,224,Belongs to the UPF0386 family,S,COG3811@2
COG3809,2,781,Transcription factor zinc-finger,S,COG3809@2
COG3808,2,1733,hydrogen-translocating pyrophosphatase activity,C,COG3808@2
COG3812,2,674,Domain of unknown function (DUF1993),S,COG3812@2
COG3813,2,390,Protein conserved in bacteria,T,COG3813@2
COG3814,2,574,Stringent starvation protein B,S,COG3814@2
COG3815,2,92,Predicted membrane protein (DUF2085),S,COG3815@2
COG3816,2,809,Protein of unknown function (DUF1285),S,COG3816@2
COG3817,2,519,Membrane,S,COG3817@2
COG3818,2,182,acetyltransferase,S,COG3818@2
COG3819,2,510,Protein of unknown function (DUF969),S,COG3819@2
COG3820,2,577,Protein of unknown function (DUF1013),S,COG3820@2
COG3821,2,508,"Protein of unknown function, DUF599",S,COG3821@2
COG3822,2,349,D-lyxose isomerase,S,COG3822@2
COG3823,2,689,gene silencing by RNA,O,COG3823@2
COG3825,2,952,VWA domain containing CoxE-like protein,H,COG3825@2
COG3824,2,1797,Zincin-like metallopeptidase,S,COG3824@2
COG3826,2,505,"Oxygenase, catalysing oxidative methylation of damaged DNA",S,COG3826@2
COG3827,2,888,,S,COG3827@2
COG3830,2,1547,phosphoserine phosphatase activity,T,COG3830@2
COG3828,2,2273,Trehalose utilisation,N,COG3828@2
COG3831,2,1301,,S,COG3831@2
COG3833,2,1305,maltose-transporting ATPase activity,P,COG3833@2
COG3829,2,9605,transcription factor binding,T,COG3829@2
COG3832,2,13032,glyoxalase III activity,J,COG3832@2
COG3835,2,2270,"positive regulation of transcription, DNA-templated",KT,COG3835@2
COG3838,2,868,Conjugal transfer protein Trbc,U,COG3838@2
COG3840,2,440,thiamine transmembrane transport,P,COG3840@2
COG3837,2,1290,Cupin domain,S,COG3837@2
COG3839,2,1119,tungstate ion transport,P,COG3839@2
COG3846,2,751,protein secretion by the type IV secretion system,U,COG3846@2
COG3844,2,1231,kynureninase activity,E,COG3844@2
COG3836,2,2082,2-keto-3-deoxy-L-rhamnonate aldolase activity,G,COG3836@2
COG3847,2,1149,Flp Fap pilin component,U,COG3847@2
COG3848,2,1429,kinase activity,GT,COG3848@2
COG3851,2,271,Histidine kinase,T,COG3851@2
COG3843,2,3457,relaxase mobilization nuclease domain protein,U,COG3843@2
COG3856,2,702,Protein of unknown function (DUF1290),S,COG3856@2
COG3854,2,638,ATPases associated with a variety of cellular activities,S,COG3854@2
COG3845,2,3639,ABC transporter,P,COG3845@2
COG3855,2,675,"fructose 1,6-bisphosphate 1-phosphatase activity",G,COG3855@2
COG3853,2,1262,Toxic anion resistance protein (TelA),P,COG3853@2
COG3852,2,3571,phosphorelay sensor kinase activity,T,COG3852@2
COG3857,2,1302,exonuclease activity,L,COG3857@2
COG3850,2,4584,phosphorelay sensor kinase activity,T,COG3850@2
COG3859,2,640,thiamine transport,S,COG3859@2
COG3858,2,1989,chitin binding,S,COG3858@2
COG3860,2,952,,S,COG3860@2
COG3862,2,504,Protein of unknown function (DUF1667),S,COG3862@2
COG3861,2,2995,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",S,COG3861@2
COG3863,2,516,"Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family",T,COG3863@2
COG3864,2,833,Putative metallopeptidase domain,S,COG3864@2
COG3865,2,1648,3-Demethylubiquinone-9 3-methyltransferase,P,COG3865@2
COG3867,2,735,"arabinogalactan endo-1,4-beta-galactosidase activity",G,COG3867@2
COG3866,2,1670,Pectate lyase,G,COG3866@2
COG3868,2,856,Glycoside-hydrolase family GH114,S,COG3868@2
COG3869,2,646,Catalyzes the specific phosphorylation of arginine residues in,E,COG3869@2
COG3870,2,765,Cyclic-di-AMP receptor,S,COG3870@2
COG3874,2,690,Sporulation protein YtfJ (Spore_YtfJ),S,COG3874@2
COG3875,2,742,lactate racemase activity,S,COG3875@2
COG3872,2,805,metal-dependent enzyme,M,COG3872@2
COG3877,2,448,protein conserved in bacteria,S,COG3877@2
COG3871,2,2619,Pyridoxamine 5'-phosphate oxidase,S,COG3871@2
COG3876,2,1201,Protein conserved in bacteria,G,COG3876@2
COG3842,2,22095,ATPase activity,P,COG3842@2
COG3878,2,834,Protein conserved in bacteria,J,COG3878@2
COG3880,2,881,PFAM UvrB UvrC protein,E,COG3880@2
COG3881,2,580,PRC-barrel domain,S,COG3881@2
COG3882,2,572,phosphopantetheine binding,Q,COG3882@2
COG3883,2,1344,cell wall organization,S,COG3883@2
COG3884,2,1119,thiolester hydrolase activity,I,COG3884@2
COG3885,2,700,ferrous iron binding,S,COG3885@2
COG3879,2,1773,Bacterial protein of unknown function (DUF881),S,COG3879@2
COG3887,2,1056,signaling protein consisting of a modified GGDEF domain and a DHH domain,T,COG3887@2
COG3889,2,98,,S,COG3889@2
COG3886,2,1128,PLD-like domain,L,COG3886@2
COG3892,2,414,5-dehydro-2-deoxygluconokinase,G,COG3892@2
COG3893,2,778,PD-(D/E)XK nuclease superfamily,L,COG3893@2
COG3894,2,708,2Fe-2S iron-sulfur cluster binding domain,C,COG3894@2
COG3895,2,642,Periplasmic Protein,O,COG3895@2
COG3896,2,390,Chloramphenicol phosphotransferase-like protein,V,COG3896@2
COG3898,2,523,HemY domain protein,D,COG3898@2
COG3897,2,854,"peptidase activity, acting on L-amino acid peptides",P,COG3897@2
COG3900,2,195,Predicted periplasmic protein (DUF2092),S,COG3900@2
COG3901,2,330,FMN binding,CK,COG3901@2
COG3899,2,2964,PFAM Protein kinase domain,T,COG3899@2
COG3904,2,588,periplasmic protein,T,COG3904@2
COG3905,2,1246,".,Oxidizes proline to glutamate for use as a carbon and nitrogen source",K,COG3905@2
COG3906,2,848,Protein of unknown function (DUF1292),S,COG3906@2
COG3907,2,445,PAP2 superfamily,S,COG3907@2
COG3908,2,388,Uncharacterized protein conserved in bacteria (DUF2093),S,COG3908@2
COG3909,2,978,cytochrome,C,COG3909@2
COG3910,2,823,"AAA domain, putative AbiEii toxin, Type IV TA system",S,COG3910@2
COG3903,2,6125,ADP binding,K,COG3903@2
COG3911,2,565,COG3911 Predicted ATPase,K,COG3911@2
COG3913,2,424,Uncharacterized protein conserved in bacteria (DUF2094),T,COG3913@2
COG3915,2,483,,S,COG3915@2
COG3914,2,1432,protein N-acetylglucosaminyltransferase activity,O,COG3914@2
COG3916,2,1040,Acyl-homoserine-lactone synthase,QT,COG3916@2
COG3917,2,1485,glutathione transferase activity,Q,COG3917@2
COG3918,2,244,,S,COG3918@2
COG3919,2,968,ATP-grasp,E,COG3919@2
COG3923,2,267,"DNA replication, synthesis of RNA primer",L,COG3923@2
COG3921,2,907,Extensin-like protein C-terminus,S,COG3921@2
COG3925,2,144,protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity,G,COG3925@2
COG3924,2,338,membrane,S,COG3924@2
COG3926,2,661,Glycosyl hydrolase 108,S,COG3926@2
COG3930,2,383,Protein conserved in bacteria,E,COG3930@2
COG3931,2,765,N-formylglutamate amidohydrolase,E,COG3931@2
COG3920,2,5635,Histidine kinase,T,COG3920@2
COG3932,2,778,"Exopolysaccharide synthesis, ExoD",S,COG3932@2
COG3933,2,692,PFAM sigma-54 factor interaction domain-containing protein,K,COG3933@2
COG3936,2,114,Protein involved in polysaccharide intercellular adhesin (PIA) synthesis biofilm formation,G,COG3936@2
COG3934,2,1259,Belongs to the glycosyl hydrolase 5 (cellulase A) family,G,COG3934@2
COG3937,2,1166,,S,COG3937@2
COG3938,2,1536,4-hydroxyproline epimerase activity,E,COG3938@2
COG3940,2,1190,arabinan catabolic process,G,COG3940@2
COG3935,2,2540,,L,COG3935@2
COG3941,2,722,tape measure,O,COG3941@2
COG3942,2,1605,pathogenesis,S,COG3942@2
COG3946,2,360,Bacterial virulence protein (VirJ),U,COG3946@2
COG3944,2,1679,capsule polysaccharide biosynthetic process,M,COG3944@2
COG3947,2,722,sequence-specific DNA binding,T,COG3947@2
COG3943,2,1607,,S,COG3943@2
COG3945,2,1780,hemerythrin HHE cation binding domain,P,COG3945@2
COG3948,2,626,Baseplate J-like protein,S,COG3948@2
COG3952,2,390,lipid-A-disaccharide synthase activity,S,COG3952@2
COG3949,2,1151,,S,COG3949@2
COG3950,2,1141,"AAA domain, putative AbiEii toxin, Type IV TA system",S,COG3950@2
COG3953,2,740,,S,COG3953@2
COG3955,2,91,Domain of unknown function (DUF1919),M,COG3955@2
COG3954,2,694,Phosphoribulokinase,G,COG3954@2
COG3951,2,1650,Flagellar rod assembly protein muramidase FlgJ,MNO,COG3951@2
COG3960,2,581,tartronate-semialdehyde synthase activity,S,COG3960@2
COG3961,2,525,pyruvate decarboxylase activity,GH,COG3961@2
COG3957,2,1560,D-xylulose 5-phosphate D-fructose 6-phosphate phosphoketolase,G,COG3957@2
COG3958,2,2176,transketolase activity,G,COG3958@2
COG3963,2,1022,phosphatidate phosphatase activity,I,COG3963@2
COG3956,2,3376,TIGRFAM MazG family protein,E,COG3956@2
COG3964,2,546,amidohydrolase,S,COG3964@2
COG3962,2,1053,Belongs to the TPP enzyme family,E,COG3962@2
COG3959,2,2166,transketolase activity,G,COG3959@2
COG3965,2,449,Cation efflux family,P,COG3965@2
COG3966,2,471,Protein involved in D-alanine esterification of lipoteichoic acid and wall teichoic acid (D-alanine transfer protein),M,COG3966@2
COG3967,2,626,Belongs to the short-chain dehydrogenases reductases (SDR) family,M,COG3967@2
COG3969,2,230,Domain of unknown function (DUF3440),S,COG3969@2
COG3968,2,1188,glutamine synthetase,S,COG3968@2
COG3970,2,574,fumarylacetoacetate (FAA) hydrolase,C,COG3970@2
COG3972,2,119,,S,COG3972@2
COG3971,2,2507,2-oxopent-4-enoate hydratase activity,Q,COG3971@2
COG3977,2,387,valine-pyruvate transaminase activity,E,COG3977@2
COG3975,2,1438,,S,COG3975@2
COG3978,2,335,acetolactate synthase activity,S,COG3978@2
COG3973,2,2661,AAA domain,L,COG3973@2
COG3976,2,1635,FMN binding,S,COG3976@2
COG3980,2,624,"transferase activity, transferring hexosyl groups",M,COG3980@2
COG4006,2,212,"CRISPR-associated protein, APE2256 family",S,COG4006@2
COG3981,2,933,Acetyltransferase (GNAT) domain,S,COG3981@2
COG3979,2,2250,chitin catabolic process,S,COG3979@2
COG4012,2,62,pyruvate format-lyase activating enzyme,S,COG4012@2
COG4021,2,109,tRNAHis guanylyltransferase,S,COG4021@2
COG4031,2,151,Predicted metal-binding protein (DUF2103),S,COG4031@2
COG4030,2,238,Protein of unknown function (DUF2961),M,COG4030@2
COG4032,2,343,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain",EH,COG4032@2
COG4034,2,139,Protein of unknown function (DUF1152),F,COG4034@2
COG4043,2,152,,S,COG4043@2
COG4044,2,523,Domain of unknown function (DUF1794),S,COG4044@2
COG4068,2,228,,S,COG4068@2
COG4067,2,1393,ligase activity,O,COG4067@2
COG4072,2,470,Protein of unknown function C-terminal (DUF3324),S,COG4072@2
COG4076,2,194,3-demethylubiquinone-9 3-O-methyltransferase activity,Q,COG4076@2
COG4083,2,127,PFAM Transmembrane exosortase (Exosortase_EpsH),S,COG4083@2
COG4087,2,156,Haloacid dehalogenase domain protein hydrolase,S,COG4087@2
COG4085,2,709,"PFAM nucleic acid binding, OB-fold, tRNA",S,COG4085@2
COG4086,2,570,Protein of unknown function (DUF1002),S,COG4086@2
COG4088,2,153,5-carbamoylmethyl uridine residue modification,F,COG4088@2
COG4089,2,161,Protein of unknown function (DUF1614),S,COG4089@2
COG4091,2,665,,E,COG4091@2
COG4093,2,391,Uncharacterized protein conserved in bacteria (DUF2125),S,COG4093@2
COG4094,2,692,NnrU protein,S,COG4094@2
COG4095,2,912,Sugar efflux transporter for intercellular exchange,S,COG4095@2
COG4097,2,1092,nitric oxide dioxygenase activity,P,COG4097@2
COG4098,2,684,helicase superfamily c-terminal domain,L,COG4098@2
COG4096,2,1857,type I site-specific deoxyribonuclease activity,L,COG4096@2
COG4101,2,604,"3-hydroxyanthranilate 3,4-dioxygenase activity",G,COG4101@2
COG4100,2,994,CystaTHIonine beta-lyase family protein involved in aluminum resistance,P,COG4100@2
COG4099,2,1464,phospholipase Carboxylesterase,F,COG4099@2
COG4103,2,1117,Tellurite resistance protein TerB,T,COG4103@2
COG4102,2,2072,Protein of unknown function (DUF1501),S,COG4102@2
COG4104,2,2233,PAAR repeat-containing protein,T,COG4104@2
COG4107,2,608,organic phosphonate catabolic process,P,COG4107@2
COG4105,2,2623,cell envelope organization,S,COG4105@2
COG4109,2,914,DRTGG domain,K,COG4109@2
COG4106,2,3680,trans-aconitate 2-methyltransferase activity,FG,COG4106@2
COG4110,2,585,tellurium resistance protein,M,COG4110@2
COG4112,2,127,,S,COG4112@2
COG4108,2,3292,protein-containing complex disassembly,J,COG4108@2
COG4111,2,680,nicotinate-nucleotide adenylyltransferase activity,F,COG4111@2
COG4113,2,649,Toxic component of a toxin-antitoxin (TA) module. An RNase,S,COG4113@2
COG4114,2,1070,ferric iron reductase,HP,COG4114@2
COG4115,2,1372,mRNA cleavage,D,COG4115@2
COG4119,2,478,NUDIX hydrolase,L,COG4119@2
COG4116,2,450,CYTH,S,COG4116@2
COG4117,2,868,Thiosulfate reductase cytochrome B subunit (Membrane anchoring protein),C,COG4117@2
COG4128,2,190,Zonular occludens toxin (Zot),S,COG4128@2
COG4125,2,724,Chlorhexidine efflux transporter,S,COG4125@2
COG4130,2,181,Xylose isomerase domain protein TIM barrel,G,COG4130@2
COG4120,2,1474,Belongs to the binding-protein-dependent transport system permease family,S,COG4120@2
COG4127,2,392,Restriction endonuclease,S,COG4127@2
COG4136,2,249,ATPase activity,S,COG4136@2
COG4135,2,266,,P,COG4135@2
COG4118,2,1667,positive regulation of growth,D,COG4118@2
COG4121,2,1626,"Catalyzes the last two steps in the biosynthesis of 5- methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at the wobble position (U34) in tRNA. Catalyzes the FAD-dependent demodification of cmnm(5)s(2)U34 to nm(5)s(2)U34, followed by the transfer of a methyl group from S-adenosyl-L-methionine to nm(5)s(2)U34, to form mnm(5)s(2)U34",E,COG4121@2
COG4132,2,568,"(ABC) transporter, permease",P,COG4132@2
COG4139,2,184,cobalamin transport,H,COG4139@2
COG4138,2,181,Part of the ABC transporter complex BtuCDF involved in vitamin B12 import. Responsible for energy coupling to the transport system,P,COG4138@2
COG4134,2,677,Bacterial extracellular solute-binding protein,S,COG4134@2
COG4145,2,513,pantothenate transmembrane transporter activity,H,COG4145@2
COG4126,2,1819,flavin adenine dinucleotide binding,E,COG4126@2
COG4133,2,1248,protoheme IX ABC transporter activity,P,COG4133@2
COG4137,2,967,cytochrome complex assembly,S,COG4137@2
COG4124,2,1702,Belongs to the glycosyl hydrolase 26 family,G,COG4124@2
COG4123,2,3195,Specifically methylates the adenine in position 37 of tRNA(1)(Val) (anticodon cmo5UAC),AJ,COG4123@2
COG4146,2,911,symporter activity,S,COG4146@2
COG4143,2,872,thiamine binding,H,COG4143@2
COG4150,2,299,thiosulfate binding,P,COG4150@2
COG4129,2,2664,,S,COG4129@2
COG4148,2,1430,Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system,P,COG4148@2
COG4154,2,698,fucose binding,G,COG4154@2
COG4158,2,395,Belongs to the binding-protein-dependent transport system permease family,T,COG4158@2
COG4168,2,242,"peptide transport system, permease",P,COG4168@2
COG4147,2,3133,glycolate transport,S,COG4147@2
COG4171,2,340,"peptide transport system, permease",V,COG4171@2
COG4160,2,1520,amino acid transport,P,COG4160@2
COG4152,2,1476,ATPase activity,S,COG4152@2
COG4174,2,1082,ABC transporter (Permease),P,COG4174@2
COG4149,2,2941,molybdate abc transporter,P,COG4149@2
COG4122,2,7714,O-methyltransferase activity,E,COG4122@2
COG4176,2,2339,choline transport,P,COG4176@2
COG4178,2,1192,(ABC) transporter,P,COG4178@2
COG4166,2,7622,transmembrane transport,E,COG4166@2
COG4181,2,1390,ATPase activity,Q,COG4181@2
COG4185,2,794,,S,COG4185@2
COG4175,2,2234,quaternary-ammonium-compound-transporting ATPase activity,E,COG4175@2
COG4187,2,321,Peptidase family M20/M25/M40,E,COG4187@2
COG4186,2,517,nucleotidyltransferase activity,S,COG4186@2
COG4172,2,8207,Belongs to the ABC transporter superfamily,P,COG4172@2
COG4189,2,459,Transcriptional regulator,K,COG4189@2
COG4190,2,265,Transcriptional regulator,K,COG4190@2
COG4188,2,2787,dienelactone hydrolase,KT,COG4188@2
COG4192,2,459,Histidine kinase,T,COG4192@2
COG4193,2,861,"domain, Protein",G,COG4193@2
COG4195,2,231,phage-related replication protein,S,COG4195@2
COG4194,2,537,SdpI/YhfL protein family,K,COG4194@2
COG4196,2,663,Putative amidoligase enzyme (DUF2126),E,COG4196@2
COG4197,2,271,sequence-specific DNA binding,S,COG4197@2
COG4177,2,10468,L-phenylalanine transmembrane transporter activity,E,COG4177@2
COG4199,2,254,"Single-strand DNA-specific exonuclease, C terminal domain",L,COG4199@2
COG4198,2,2272,,S,COG4198@2
COG4200,2,1331,ABC-2 family transporter protein,V,COG4200@2
COG4211,2,414,methylgalactoside transmembrane transporter activity,G,COG4211@2
COG4208,2,1444,ATPase-coupled sulfate transmembrane transporter activity,P,COG4208@2
COG4209,2,3195,Binding-protein-dependent transport system inner membrane component,P,COG4209@2
COG4213,2,2265,D-xylose transmembrane transport,G,COG4213@2
COG4214,2,1820,carbohydrate transport,G,COG4214@2
COG4215,2,1576,L-histidine import across plasma membrane,P,COG4215@2
COG4220,2,317,transposase activity,L,COG4220@2
COG4219,2,2867,,KT,COG4219@2
COG4206,2,10726,cobalamin-transporting ATPase activity,H,COG4206@2
COG4191,2,21989,Histidine kinase,T,COG4191@2
COG4222,2,1805,Esterase-like activity of phytase,S,COG4222@2
COG4224,2,939,Bacterial protein of unknown function (DUF896),S,COG4224@2
COG4223,2,1760,"transferase activity, transferring acyl groups other than amino-acyl groups",DZ,COG4223@2
COG4226,2,1124,protein encoded in hypervariable junctions of pilus gene clusters,K,COG4226@2
COG4228,2,256,DNA circulation,M,COG4228@2
COG4225,2,2954,unsaturated chondroitin disaccharide hydrolase activity,S,COG4225@2
COG4229,2,471,acireductone synthase activity,E,COG4229@2
COG4227,2,1991,nucleotidyltransferase activity,L,COG4227@2
COG4230,2,1425,".,Oxidizes proline to glutamate for use as a carbon and nitrogen source",C,COG4230@2
COG4231,2,2101,indolepyruvate ferredoxin oxidoreductase activity,C,COG4231@2
COG4233,2,926,Disulphide bond corrector protein DsbC,CO,COG4233@2
COG4237,2,403,Hydrogenase 4 membrane,C,COG4237@2
COG4238,2,443,peptidoglycan binding,M,COG4238@2
COG4232,2,3033,protein-disulfide reductase activity,CO,COG4232@2
COG4240,2,336,helicase activity,V,COG4240@2
COG4239,2,1101,microcin transport,P,COG4239@2
COG4241,2,697,Predicted membrane protein (DUF2232),S,COG4241@2
COG4235,2,1812,cytochrome complex assembly,O,COG4235@2
COG4242,2,878,Belongs to the peptidase S51 family,PQ,COG4242@2
COG4243,2,1133,quinone binding,S,COG4243@2
COG4221,2,14535,oxidoreductase activity,IQ,COG4221@2
COG4245,2,600,von Willebrand factor (vWF) type A domain,S,COG4245@2
